,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
591,225,2,0,23,1,3.6,1,3,1
592,65,2,0,5,1,3.7,1,4,1
593,290,2,0,23,1,1.6,1,4,2
594,291,2,0,38,1,3.6,1,4,1
595,292,2,0,2,1,3.3,5,1,1
596,292,2,0,17,1,3.4,1,1,1
597,202,1,0,11,1,2.8,2,1,1
598,254,2,0,13,1,3.1,1,4,2
599,150,2,0,17,1,2.5,1,1,1
600,224,2,0,13,1,3.2,1,3,1
601,172,2,0,29,1,3.0,4,4,1
602,171,2,0,9,1,3.7,1,1,1
603,293,1,0,8,1,3.0,1,1,1
604,244,2,0,15,1,2.4,1,1,1
605,294,2,0,11,1,3.0,8,1,1
606,237,2,0,9,1,3.8,1,1,1
607,263,2,0,13,1,3.2,1,1,1
608,236,1,0,16,1,2.3,1,1,1
609,229,2,0,18,1,2.7,1,4,1
610,295,2,0,7,1,4.0,1,4,1
611,296,2,0,7,1,3.8,1,4,2
612,107,2,0,15,1,2.0,1,1,1
613,295,2,0,7,1,3.0,1,4,1
614,297,2,0,23,1,3.1,1,1,1
615,297,1,0,16,1,2.9,2,1,1
616,259,1,0,11,1,3.1,6,1,1
617,295,2,0,9,1,3.3,1,4,2
618,126,2,0,10,1,3.7,4,1,1
619,298,2,0,13,1,3.0,1,1,1
620,299,2,0,23,1,2.5,1,1,1
621,196,2,0,9,1,3.2,1,3,1
622,300,2,0,9,1,3.9,1,4,1
623,301,2,0,9,1,3.5,1,4,1
624,301,2,0,7,1,3.3,1,4,1
625,302,2,0,24,1,3.7,1,4,1
