RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105749170,Fiddler on the Woof,2020-03-22,Sport,0,5.12a/b,G,2.5,1,Redpoint,2
105749182,Eiffel Tower,2020-08-27,Sport,0,5.10d,G,2.4,1,Redpoint,2
105749239,Big Dog,2020-03-24,Sport,0,5.12b,G,3.1,1,Fell/Hung,1
105749293,Curving Crack,2023-07-30,Trad,0,5.9+,G,2.7,1,Onsight/Flash,1
105749401,In Between the Lines,2021-01-01,Sport,0,5.9-,G,1.9,1,Onsight/Flash,1
105749446,People's Choice,2019-05-11,Sport,0,5.10,G,3.2,3,Onsight/Flash,1
105749689,Ragger Bagger,2017-09-30,Trad,0,5.8+,G,3.0,1,Onsight/Flash,1
105749692,Barbarians,2023-08-21,Sport,0,5.12b,G,2.4,1,Fell/Hung,1
105749755,Mr. Peery Take A Bow,2023-03-19,Sport,0,5.11b,G,2.1,1,Onsight/Flash,1
105749758,Blue Sky Mining,2020-11-11,Sport,0,5.11d,G,2.8,1,Fell/Hung,1
105749761,Burning Chrome,2020-11-11,Sport,0,5.11c/d,G,2.5,1,Onsight/Flash,1
105749767,Air Head,2020-11-11,Sport,0,5.9,G,1.9,1,Onsight/Flash,1
105749782,Joint Venture,2018-10-27,Sport,0,5.11a,G,2.5,2,Onsight/Flash,1
105749797,Y2K,2019-05-16,Sport,0,5.12c,G,3.1,1,Fell/Hung,2
105749800,Mineral Museum,2019-08-06,Trad,0,5.9,G,3.1,1,Onsight/Flash,1
105749860,Not One Of Us,2016-10-15,Sport,0,5.12a,G,2.9,2,Fell/Hung,1
105749899,The Black Crack,2020-01-25,Trad,0,5.9+,G,2.3,1,Onsight/Flash,1
105749920,Bourgeois Belay Dogs,2023-03-11,Sport,0,5.10b,G,2.5,1,Onsight/Flash,1
105749923,Karma Mechanic,2021-01-16,Sport,0,5.10b,G,2.4,1,Onsight/Flash,1
105749926,Partners in Crime,2023-03-11,Sport,0,5.11c,G,3.4,1,Onsight/Flash,1
105749929,Barney,2021-10-30,Sport,0,5.9+,G,2.7,1,Onsight/Flash,1
105749977,Balkan Dirt Diving,2018-04-07,Trad,0,5.12a,G,3.5,1,Redpoint,2
105749980,Cyborg,2024-12-23,Sport,0,5.11b,G,2.5,1,Onsight/Flash,1
105749983,Minimum Security,2021-01-16,Sport,0,5.11c,G,3.6,1,Onsight/Flash,1
105750016,Richter Scale,2019-12-12,Sport,0,5.10c,G,2.5,1,Onsight/Flash,1
105750028,Heavy Weather,2021-12-23,Sport,0,5.12a/b,G,3.8,1,Redpoint,3
105750037,No Rest For the Wicked,2020-01-05,Sport,0,5.12a/b,G,3.6,1,Redpoint,4
105750046,Living in America,2022-04-10,Sport,0,5.12a,G,3.0,1,Redpoint,2
105750049,Taping Tendons,2019-01-05,Sport,0,5.11c/d,G,3.5,1,Onsight/Flash,1
105750055,2150 A.D.,2019-01-05,Sport,0,5.10d,G,2.7,1,Onsight/Flash,1
105750058,Back to the Future,2020-01-04,Sport,0,5.11b/c,G,3.6,1,Onsight/Flash,1
105750079,Slip and Slide,2019-03-12,Sport,0,5.10d,G,2.8,1,Onsight/Flash,1
105750085,Directissima,2017-08-05,Trad,1,5.10b,G,3.6,4,Fell/Hung,1
105750118,Officer Friendly,2018-06-18,Sport,0,5.11b/c,G,3.1,1,Fell/Hung,2
105750121,L.A. Law,2020-08-04,Sport,0,5.10a,G,0.9,1,Fell/Hung,1
105750124,Lawsuit,2018-06-14,Sport,0,5.10-,G,1.7,1,Onsight/Flash,1
105750208,Hey Good Lookin',2021-05-26,Sport,0,5.11d,G,2.9,1,Redpoint,2
105750418,March of Dimes,2017-06-04,Trad,0,5.10c,G,2.8,1,Onsight/Flash,1
105750487,Curvaceous,2021-04-24,Sport,0,5.11b,G,3.6,1,Redpoint,2
105751009,Lunar Avenue,2017-12-09,Trad,0,5.8-,R,1.9,1,Onsight/Flash,1
105751033,Femp,2017-07-23,Trad,0,5.9,G,3.0,3,Onsight/Flash,1
105751045,Spike,2023-03-19,Sport,0,5.10-,G,2.4,1,Onsight/Flash,1
